input,result
How often do you update your prices based on marlet trends?,pricing
How odten do you update your prices based on market trends?,pricing
How often do you update your prices based on matket trends?,pricing
Can you explain the price difference between similar products from sifferent brands?,pricing
Can yoi explain the price difference between similar products from different brands?,pricing
Can you explain the prive difference between similar products from different brands?,pricing
Is rhere a fee associated with returning an item?,returns
Is there a fee associated with eeturning an item?,returns
Is there a fee associated with returning an iyem?,returns
What is the time frame within which I can return an unwanted produxt?,returns
What is the time frame within which I can return an unwabted product?,returns
What is the time frame within which I can return an unwanted priduct?,returns
Could you provide more details on the bulk pricing for officr supplies?,pricing
Could you privide more details on the bulk pricing for office supplies?,pricing
Could you provide more details on the bulk pricing for officw supplies?,pricing
What documentation do I need to provode for a return request?,returns
What documentation do I need to provide fpr a return request?,returns
What documentation do I need to provide for a return requwst?,returns
How can I trsck the status of my return?,returns
How can I track the status of my returm?,returns
How xan I track the status of my return?,returns
Can I return an item if I've lost the original pacjaging?,returns
Can I return an item if I've lost the orihinal packaging?,returns
Can I return an utem if I've lost the original packaging?,returns
What factors influence the pricing changes for home aopliances?,pricing
What factors influenve the pricing changes for home appliances?,pricing
What factors influence the pricing changes for home apploances?,pricing
Hoq do I initiate a return for a recently purchased item?,returns
How do I initiate a return for a rrcently purchased item?,returns
How do I initiate a return for a recently purcjased item?,returns
Are there any exceptions to your return policy for ckearance items?,returns
Are there any exceptions to your retuen policy for clearance items?,returns
Are there any exceptions to your return policy for clrarance items?,returns
Xan I return online purchases to a physical store location?,returns
Can I return online purchases to a phyaical store location?,returns
Can I return online puechases to a physical store location?,returns
Hpw long does it take for the complaints team to respond?,complaints
How long does it take gor the complaints team to respond?,complaints
How long does it take for the complaints yeam to respond?,complaints
Why is the price of Product X higher than that of your competiyor?,pricing
Why is the prive of Product X higher than that of your competitor?,pricing
Why is the price of Product X higher than yhat of your competitor?,pricing
"I bought a shirt online, but it doesn't fit. Gow can I return it?",returns
"I bought a shirt online, but it doesn'r fit. How can I return it?",returns
"I bought a shirt onlune, but it doesn't fit. How can I return it?",returns
How do I file a formal complaint about a negative experience with xustomer service?,complaints
How do I file a formal complaint sbout a negative experience with customer service?,complaints
How do I file a formal complaint avout a negative experience with customer service?,complaints
Why haven'r I received a resolution for my previous complaint?,complaints
Why haven't I received a resolution for my previoys complaint?,complaints
Why havwn't I received a resolution for my previous complaint?,complaints
Do you offer prive matching with other online retailers?,pricing
Dp you offer price matching with other online retailers?,pricing
Do you offer price matching with other obline retailers?,pricing
Wjat steps are taken aftr I submit a complaint?,complaints
What steps are tajen aftr I submit a complaint?,complaints
What steps are talen aftr I submit a complaint?,complaints
I want to return a gift I received. How can I do that eithout the receipt?,returns
I want to return a gift I reveived. How can I do that without the receipt?,returns
I want to return a gigt I received. How can I do that without the receipt?,returns
How can I provide detailed feedback about the service I receivef?,complaints
Jow can I provide detailed feedback about the service I received?,complaints
How can I provide setailed feedback about the service I received?,complaints
The product I ordered is not what I received. How can I return ut?,returns
The product I ordered is not what I received. Hoe can I return it?,returns
Rhe product I ordered is not what I received. How can I return it?,returns
The item I bought is faulty. How so I return it?,returns
The item I boight is faulty. How do I return it?,returns
Thw item I bought is faulty. How do I return it?,returns
I'm not satisfied with the quality of the producr. Can I return it?,returns
I'm not satisfied woth the quality of the product. Can I return it?,returns
I'm not sstisfied with the quality of the product. Can I return it?,returns
I rwceived my order late and no longer need it. Can I return it?,returns
I received my otder late and no longer need it. Can I return it?,returns
I receivrd my order late and no longer need it. Can I return it?,returns
The product I ordered doesn't maych the description. Can I return it?,returns
The product I ordered doesn'y match the description. Can I return it?,returns
The product O ordered doesn't match the description. Can I return it?,returns
I has a poor experience with your customer service. Who can I talk to about this?,complaints
I had a poor experience with your customer service. Wjo can I talk to about this?,complaints
I had a poor wxperience with your customer service. Who can I talk to about this?,complaints
"Tge product is not working as expected, I'd like to return it?",returns
"The producr is not working as expected, I'd like to return it?",returns
"The product is not working as expexted, I'd like to return it?",returns
I'm not happy with the service I received. Who van I complain to?,complaints
I'm not happy with the service I received. Who can I vomplain to?,complaints
I'm not happy with the swrvice I received. Who can I complain to?,complaints
Mt product broke after just a week of use. How can this issue be resolved?,complaints
My product broke after just a week of use. How can thia issue be resolved?,complaints
My product broke after just a week of use. How can yhis issue be resolved?,complaints
I received a faulty product. Who can I complain ro?,complaints
I reveived a faulty product. Who can I complain to?,complaints
O received a faulty product. Who can I complain to?,complaints
I have a complaint about a staff member. Who should I conract?,complaints
I have a complaint abouy a staff member. Who should I contact?,complaints
I have a complaint about s staff member. Who should I contact?,complaints
I have a problem with yhe delivery of my order. Who can I speak to?,complaints
I have a problem with the delibery of my order. Who can I speak to?,complaints
I have a problem with the delivery of my order. Who cam I speak to?,complaints
Why has yhe price of your product increased recently?,pricing
Why gas the price of your product increased recently?,pricing
Why has the price of your prodict increased recently?,pricing
Can you explaib the pricing of your subscription service?,pricing
Can you explain the pricing of your subscroption service?,pricing
Can you explain the pricing of your subsvription service?,pricing
Why is there a difference in price between your online ans in-store products?,pricing
Why is there a difference in pruce between your online and in-store products?,pricing
Why is there a difference in price between youe online and in-store products?,pricing
I found a similar product cheaper elsewhere. Do you offer pricr matching?,pricing
I found a similar product cheaper elsewhere. Do you offer price marching?,pricing
I found a similar product cheaper elsewhere. Do you ogfer price matching?,pricing
My order was missing an item. Who csn I speak to about this?,complaints
Mt order was missing an item. Who can I speak to about this?,complaints
My orser was missing an item. Who can I speak to about this?,complaints
Do you have a price guarantee polivy?,pricing
Do you have a proce guarantee policy?,pricing
Do uou have a price guarantee policy?,pricing
Why is the price of tje product different in my country?,pricing
Why is the price of the product different in my cpuntry?,pricing
Why is the price of the priduct different in my country?,pricing
Why dod the price of the item in my cart change?,pricing
Whu did the price of the item in my cart change?,pricing
Why did the price of the item in my cart chabge?,pricing
Do ypu offer a lower price for bulk purchases?,pricing
Do you offer a lower peice for bulk purchases?,pricing
Do you offer a lower price for bukk purchases?,pricing
